"product","crawfords_url","category"
"Minelab Manticore","https://www.crawfordsmd.com/minelab-manticore?tracking=fa202437c9","detector"
"Minelab Equinox 900","https://www.crawfordsmd.com/minelab-equinox-900?tracking=fa202437c9","detector"
"Minelab Vanquish 560 Pro","https://www.crawfordsmd.com/minelab-vanquish-560-pro?tracking=fa202437c9","detector"
"Minelab Vanquish 540 Pro","https://www.crawfordsmd.com/metal-detectors/minelab/minelab-vanquish/minelab-vanquish540-pro?tracking=fa202437c9","detector"
"Minelab X-Terra Elite","https://www.crawfordsmd.com/minelab-x-terra-elite?tracking=fa202437c9","detector"
"Minelab X-Terra Pro","https://www.crawfordsmd.com/minelab-x-terra-pro?tracking=fa202437c9","detector"
"Minelab CTX 3030","https://www.crawfordsmd.com/minelab-ctx3030?tracking=fa202437c9","detector"
"Minelab Gold Monster 1000","https://www.crawfordsmd.com/minelab-gold-monster-2000?tracking=fa202437c9","detector"
"Minelab Pro-Find 40 pinpointer","https://www.crawfordsmd.com/minelab-pro-find-40?tracking=fa202437c9","pinpointer"
"Minelab M9 coil","https://www.crawfordsmd.com/minelab-m9?tracking=fa202437c9","coil"
"Minelab M8 coil","https://www.crawfordsmd.com/minelab-m8?tracking=fa202437c9","coil"
"Minelab M15 coil","https://www.crawfordsmd.com/minelab-m15?tracking=fa202437c9","coil"
"Coiltek NOX 18" coil","https://www.crawfordsmd.com/coiltek-nox18?tracking=fa202437c9","coil"
"Coiltek MythTek 18" coil","https://www.crawfordsmd.com/coiltek-mythtek18?tracking=fa202437c9","coil"
"Minelab Equinox 15" coil","https://www.crawfordsmd.com/minelab-equinox-15inch-coil?tracking=fa202437c9","coil"
"Minelab WM 09 wireless module","https://www.crawfordsmd.com/minelab-wm09?tracking=fa202437c9","accessory"
"Minelab ML 85 headphones","https://www.crawfordsmd.com/metal-detecting-accessories/headphones/minelab-ml85-headphones?tracking=fa202437c9","accessory"
"RNB Power X battery","https://www.crawfordsmd.com/rnb-power-x?tracking=fa202437c9","accessory"
"Minelab Pro Spade","https://www.crawfordsmd.com/minelab-pro-spade?tracking=fa202437c9","digging"
"Evolution Pro Cut spade","https://www.crawfordsmd.com/metal-detecting-accessories/digging-tools/evolution-spades/Evolution-pro-cut-spade?tracking=fa202437c9","digging"
"Emite-R S150 sand scoop","https://www.crawfordsmd.com/sandscoop-s150?tracking=fa202437c9","digging"
"CMD Pro finds pouch","https://www.crawfordsmd.com/cmd-pro-pouch?tracking=fa202437c9","accessory"
"CMD finds box","https://www.crawfordsmd.com/cmd-finds-box-medium?tracking=fa202437c9","accessory"
"Crawfords gift voucher","https://www.crawfordsmd.com/cmd-gift-voucher?tracking=fa202437c9","accessory"
